feat_i,feat_j,name_i,name_j,cv_mean_acc,cv_std_acc,fold_accuracies,rank
0,2,sepal length (cm),petal length (cm),0.9714285714285713,0.023328473740792197,0.952380952381;1.000000000000;0.952380952381;1.000000000000;0.952380952381,1
0,3,sepal length (cm),petal width (cm),0.9714285714285715,0.023328473740792194,0.952380952381;1.000000000000;1.000000000000;0.952380952381;0.952380952381,2
2,3,petal length (cm),petal width (cm),0.9714285714285713,0.023328473740792197,0.952380952381;1.000000000000;0.952380952381;1.000000000000;0.952380952381,3
1,3,sepal width (cm),petal width (cm),0.9523809523809523,0.030116930096841705,0.952380952381;0.952380952381;0.904761904762;1.000000000000;0.952380952381,4
1,2,sepal width (cm),petal length (cm),0.9333333333333333,0.04856209060564558,0.904761904762;0.952380952381;0.857142857143;1.000000000000;0.952380952381,5
0,1,sepal length (cm),sepal width (cm),0.7619047619047619,0.04259177099999599,0.714285714286;0.714285714286;0.761904761905;0.809523809524;0.809523809524,6
