feat_i,feat_j,name_i,name_j,cv_mean_acc,cv_std_acc,fold_accuracies,rank
0,12,alcohol,proline,0.8386666666666667,0.056631361550920814,0.800000000000;0.880000000000;0.920000000000;0.760000000000;0.833333333333,15
4,6,magnesium,flavanoids,0.8310000000000001,0.045650848842053296,0.880000000000;0.760000000000;0.800000000000;0.840000000000;0.875000000000,16
3,6,alcalinity_of_ash,flavanoids,0.8309999999999998,0.07696752561957541,0.880000000000;0.680000000000;0.840000000000;0.880000000000;0.875000000000,17
6,11,flavanoids,od280/od315_of_diluted_wines,0.8220000000000001,0.0567097875150313,0.800000000000;0.920000000000;0.800000000000;0.840000000000;0.750000000000,18
8,9,proanthocyanins,color_intensity,0.8220000000000001,0.0620966987850401,0.840000000000;0.840000000000;0.920000000000;0.760000000000;0.750000000000,19
8,12,proanthocyanins,proline,0.8153333333333332,0.09255869008964586,0.640000000000;0.840000000000;0.840000000000;0.840000000000;0.916666666667,20
1,9,malic_acid,color_intensity,0.8143333333333335,0.08275532879787527,0.880000000000;0.920000000000;0.800000000000;0.680000000000;0.791666666667,21
2,6,ash,flavanoids,0.8073333333333335,0.05751907896032796,0.760000000000;0.800000000000;0.800000000000;0.760000000000;0.916666666667,22
0,7,alcohol,nonflavanoid_phenols,0.8066666666666666,0.05811865258054232,0.880000000000;0.720000000000;0.760000000000;0.840000000000;0.833333333333,23
1,12,malic_acid,proline,0.806,0.0656048778674269,0.720000000000;0.880000000000;0.800000000000;0.880000000000;0.750000000000,24
1,6,malic_acid,flavanoids,0.7986666666666667,0.04266666666666668,0.800000000000;0.800000000000;0.840000000000;0.720000000000;0.833333333333,25
5,6,total_phenols,flavanoids,0.798,0.028565713714171395,0.840000000000;0.800000000000;0.800000000000;0.800000000000;0.750000000000,26
5,10,total_phenols,hue,0.7903333333333333,0.029672284112357172,0.840000000000;0.800000000000;0.760000000000;0.760000000000;0.791666666667,27
