feat_i,feat_j,name_i,name_j,cv_mean_acc,cv_std_acc,fold_accuracies,rank
23,28,worst area,worst symmetry,0.9422784810126581,0.02306252169790145,0.962500000000;0.900000000000;0.937500000000;0.962025316456;0.949367088608,19
4,22,mean smoothness,worst perimeter,0.9422468354430379,0.00989398620307816,0.937500000000;0.937500000000;0.937500000000;0.962025316456;0.936708860759,20
22,25,worst perimeter,worst compactness,0.9422151898734178,0.012864381404671252,0.950000000000;0.937500000000;0.937500000000;0.962025316456;0.924050632911,21
23,26,worst area,worst concavity,0.9421518987341774,0.02059360821339757,0.925000000000;0.962500000000;0.962500000000;0.949367088608;0.911392405063,22
2,27,mean perimeter,worst concave points,0.9421202531645569,0.02224582258169303,0.950000000000;0.950000000000;0.962500000000;0.949367088608;0.898734177215,23
5,20,mean compactness,worst radius,0.9420886075949367,0.030696039409719277,0.937500000000;0.962500000000;0.975000000000;0.949367088608;0.886075949367,24
22,28,worst perimeter,worst symmetry,0.939778481012658,0.02656637559264468,0.950000000000;0.887500000000;0.950000000000;0.962025316456;0.949367088608,25
20,28,worst radius,worst symmetry,0.9397468354430378,0.01648105397727618,0.950000000000;0.912500000000;0.937500000000;0.962025316456;0.936708860759,26
6,20,mean concavity,worst radius,0.9396835443037975,0.012382438681224257,0.950000000000;0.925000000000;0.950000000000;0.949367088608;0.924050632911,27
13,27,area error,worst concave points,0.9396835443037975,0.018461440563896404,0.912500000000;0.950000000000;0.962500000000;0.949367088608;0.924050632911,28
3,24,mean area,worst smoothness,0.9396518987341771,0.01251685292372825,0.962500000000;0.937500000000;0.937500000000;0.936708860759;0.924050632911,29
3,20,mean area,worst radius,0.9372468354430378,0.026131577017414795,0.950000000000;0.887500000000;0.950000000000;0.962025316456;0.936708860759,30
7,21,mean concave points,worst texture,0.9371518987341773,0.017905744513666215,0.962500000000;0.925000000000;0.937500000000;0.949367088608;0.911392405063,31
6,23,mean concavity,worst area,0.9346518987341772,0.009523160948761501,0.925000000000;0.937500000000;0.950000000000;0.936708860759;0.924050632911,32
8,22,mean symmetry,worst perimeter,0.934620253164557,0.01875314426448316,0.937500000000;0.937500000000;0.950000000000;0.949367088608;0.898734177215,33
0,29,mean radius,worst fractal dimension,0.934620253164557,0.03439895252221876,0.950000000000;0.925000000000;0.950000000000;0.974683544304;0.873417721519,34
2,29,mean perimeter,worst fractal dimension,0.9345886075949368,0.033475807783797544,0.962500000000;0.925000000000;0.950000000000;0.962025316456;0.873417721519,35
0,20,mean radius,worst radius,0.9322468354430379,0.022994246648796342,0.937500000000;0.887500000000;0.937500000000;0.949367088608;0.949367088608,36
4,23,mean smoothness,worst area,0.9321835443037976,0.009928643021644049,0.925000000000;0.937500000000;0.925000000000;0.949367088608;0.924050632911,37
20,21,worst radius,worst texture,0.9321835443037972,0.020392518994880884,0.950000000000;0.912500000000;0.925000000000;0.962025316456;0.911392405063,38
1,22,mean texture,worst perimeter,0.9321518987341773,0.017091947634206572,0.950000000000;0.912500000000;0.937500000000;0.949367088608;0.911392405063,39
7,23,mean concave points,worst area,0.9321202531645569,0.013038589146144893,0.925000000000;0.937500000000;0.950000000000;0.936708860759;0.911392405063,40
0,25,mean radius,worst compactness,0.9321202531645569,0.028420822474661028,0.962500000000;0.925000000000;0.925000000000;0.962025316456;0.886075949367,41
3,29,mean area,worst fractal dimension,0.9320569620253165,0.02498769926513793,0.962500000000;0.937500000000;0.937500000000;0.936708860759;0.886075949367,42
21,22,worst texture,worst perimeter,0.9296835443037976,0.029321221273754205,0.950000000000;0.900000000000;0.925000000000;0.974683544304;0.898734177215,43
8,20,mean symmetry,worst radius,0.9296518987341773,0.02200598416814073,0.912500000000;0.937500000000;0.937500000000;0.962025316456;0.898734177215,44
7,20,mean concave points,worst radius,0.929620253164557,0.015185719368694802,0.912500000000;0.937500000000;0.950000000000;0.936708860759;0.911392405063,45
2,25,mean perimeter,worst compactness,0.929620253164557,0.027264343306945465,0.950000000000;0.912500000000;0.937500000000;0.962025316456;0.886075949367,46
5,22,mean compactness,worst perimeter,0.9295886075949367,0.017337613841279912,0.937500000000;0.950000000000;0.925000000000;0.936708860759;0.898734177215,47
5,23,mean compactness,worst area,0.9295886075949367,0.02611440264138653,0.912500000000;0.950000000000;0.950000000000;0.949367088608;0.886075949367,48
2,20,mean perimeter,worst radius,0.9271835443037976,0.01441920231112721,0.912500000000;0.912500000000;0.937500000000;0.949367088608;0.924050632911,49
4,20,mean smoothness,worst radius,0.9271835443037976,0.01644425113190673,0.900000000000;0.937500000000;0.925000000000;0.949367088608;0.924050632911,50
3,23,mean area,worst area,0.9271835443037976,0.0242423240221426,0.912500000000;0.900000000000;0.950000000000;0.962025316456;0.911392405063,51
10,27,radius error,worst concave points,0.9271518987341771,0.014507552359673723,0.900000000000;0.937500000000;0.937500000000;0.936708860759;0.924050632911,52
6,22,mean concavity,worst perimeter,0.927120253164557,0.012397876373296255,0.937500000000;0.912500000000;0.937500000000;0.936708860759;0.911392405063,53
3,28,mean area,worst symmetry,0.9271202531645569,0.02021099248609212,0.950000000000;0.912500000000;0.925000000000;0.949367088608;0.898734177215,54
8,23,mean symmetry,worst area,0.9270886075949367,0.014951116737020842,0.925000000000;0.937500000000;0.937500000000;0.936708860759;0.898734177215,55
1,20,mean texture,worst radius,0.9246202531645571,0.017862964006448014,0.925000000000;0.912500000000;0.937500000000;0.949367088608;0.898734177215,56
26,27,worst concavity,worst concave points,0.9246202531645571,0.017862964006448014,0.912500000000;0.925000000000;0.937500000000;0.949367088608;0.898734177215,57
2,28,mean perimeter,worst symmetry,0.922151898734177,0.021451635103506783,0.925000000000;0.887500000000;0.937500000000;0.949367088608;0.911392405063,58
21,23,worst texture,worst area,0.922120253164557,0.023014924482136396,0.950000000000;0.912500000000;0.900000000000;0.949367088608;0.898734177215,59
1,7,mean texture,mean concave points,0.9220886075949368,0.024315373363981815,0.962500000000;0.887500000000;0.925000000000;0.924050632911;0.911392405063,60
0,26,mean radius,worst concavity,0.9220569620253165,0.02022758471652484,0.912500000000;0.912500000000;0.962500000000;0.911392405063;0.911392405063,61
1,23,mean texture,worst area,0.9220569620253165,0.020384414513821666,0.937500000000;0.912500000000;0.937500000000;0.936708860759;0.886075949367,62
0,6,mean radius,mean concavity,0.9220569620253165,0.021754251914648026,0.912500000000;0.912500000000;0.962500000000;0.924050632911;0.898734177215,63
3,26,mean area,worst concavity,0.9220253164556962,0.018805937230464396,0.912500000000;0.937500000000;0.950000000000;0.911392405063;0.898734177215,64
18,22,symmetry error,worst perimeter,0.9220253164556962,0.018805937230464396,0.950000000000;0.912500000000;0.937500000000;0.911392405063;0.898734177215,65
3,25,mean area,worst compactness,0.9220253164556963,0.029380555347488572,0.962500000000;0.925000000000;0.912500000000;0.936708860759;0.873417721519,66
0,28,mean radius,worst symmetry,0.9196835443037973,0.02007900793979072,0.912500000000;0.887500000000;0.925000000000;0.949367088608;0.924050632911,67
24,27,worst smoothness,worst concave points,0.9196518987341772,0.01851344258859853,0.887500000000;0.937500000000;0.912500000000;0.936708860759;0.924050632911,68
6,27,mean concavity,worst concave points,0.919620253164557,0.014933557380473403,0.912500000000;0.937500000000;0.900000000000;0.936708860759;0.911392405063,69
11,20,texture error,worst radius,0.9195886075949368,0.006259426475686005,0.925000000000;0.925000000000;0.912500000000;0.924050632911;0.911392405063,70
19,20,fractal dimension error,worst radius,0.9195886075949368,0.012936962765969288,0.912500000000;0.925000000000;0.925000000000;0.936708860759;0.898734177215,71
11,22,texture error,worst perimeter,0.9195886075949368,0.017098684323890986,0.937500000000;0.900000000000;0.925000000000;0.936708860759;0.898734177215,72
2,26,mean perimeter,worst concavity,0.9195253164556962,0.02210859238835998,0.912500000000;0.912500000000;0.962500000000;0.911392405063;0.898734177215,73
3,6,mean area,mean concavity,0.9195253164556962,0.02483897025237171,0.912500000000;0.912500000000;0.962500000000;0.924050632911;0.886075949367,74
18,20,symmetry error,worst radius,0.9194936708860759,0.022298654919437437,0.950000000000;0.912500000000;0.937500000000;0.911392405063;0.886075949367,75
9,27,mean fractal dimension,worst concave points,0.9172151898734177,0.021460829825339457,0.900000000000;0.900000000000;0.900000000000;0.949367088608;0.936708860759,76
14,22,smoothness error,worst perimeter,0.9171518987341771,0.02790173919583183,0.937500000000;0.862500000000;0.925000000000;0.924050632911;0.936708860759,77
27,28,worst concave points,worst symmetry,0.9170886075949367,0.012732771017308138,0.900000000000;0.912500000000;0.937500000000;0.924050632911;0.911392405063,78
7,27,mean concave points,worst concave points,0.9170886075949367,0.020379108017348543,0.925000000000;0.937500000000;0.887500000000;0.936708860759;0.898734177215,79
20,22,worst radius,worst perimeter,0.9170569620253165,0.010311018214469989,0.912500000000;0.925000000000;0.925000000000;0.924050632911;0.898734177215,80
22,23,worst perimeter,worst area,0.9170569620253165,0.010311018214469989,0.925000000000;0.925000000000;0.912500000000;0.924050632911;0.898734177215,81
19,22,fractal dimension error,worst perimeter,0.9170569620253165,0.01299296335018042,0.937500000000;0.912500000000;0.912500000000;0.924050632911;0.898734177215,82
0,7,mean radius,mean concave points,0.9170253164556963,0.02342896582594139,0.900000000000;0.912500000000;0.962500000000;0.911392405063;0.898734177215,83
2,6,mean perimeter,mean concavity,0.9170253164556963,0.02342896582594139,0.900000000000;0.912500000000;0.962500000000;0.911392405063;0.898734177215,84
2,7,mean perimeter,mean concave points,0.9170253164556963,0.02342896582594139,0.900000000000;0.912500000000;0.962500000000;0.911392405063;0.898734177215,85
9,23,mean fractal dimension,worst area,0.9170253164556963,0.023631974041196834,0.912500000000;0.937500000000;0.925000000000;0.936708860759;0.873417721519,86
0,23,mean radius,worst area,0.9170253164556963,0.026143262938734337,0.912500000000;0.912500000000;0.950000000000;0.936708860759;0.873417721519,87
7,24,mean concave points,worst smoothness,0.9146518987341772,0.021254800488903807,0.875000000000;0.925000000000;0.912500000000;0.936708860759;0.924050632911,88
9,20,mean fractal dimension,worst radius,0.9145886075949367,0.014603118898284799,0.900000000000;0.912500000000;0.925000000000;0.936708860759;0.898734177215,89
12,27,perimeter error,worst concave points,0.9145886075949367,0.01839160356133859,0.900000000000;0.937500000000;0.900000000000;0.936708860759;0.898734177215,90
21,27,worst texture,worst concave points,0.9145886075949367,0.021670723411195966,0.925000000000;0.912500000000;0.900000000000;0.949367088608;0.886075949367,91
3,7,mean area,mean concave points,0.9145569620253164,0.020062642244827456,0.887500000000;0.912500000000;0.950000000000;0.911392405063;0.911392405063,92
13,22,area error,worst perimeter,0.9145253164556962,0.009825630867868518,0.925000000000;0.912500000000;0.925000000000;0.911392405063;0.898734177215,93
2,23,mean perimeter,worst area,0.9145253164556962,0.02193391846803216,0.912500000000;0.925000000000;0.925000000000;0.936708860759;0.873417721519,94
6,7,mean concavity,mean concave points,0.912120253164557,0.01745894995422825,0.887500000000;0.900000000000;0.925000000000;0.936708860759;0.911392405063,95
14,20,smoothness error,worst radius,0.912120253164557,0.024813759098582133,0.925000000000;0.862500000000;0.925000000000;0.924050632911;0.924050632911,96
3,4,mean area,mean smoothness,0.9120886075949368,0.020808881126302043,0.875000000000;0.912500000000;0.937500000000;0.924050632911;0.911392405063,97
7,16,mean concave points,concavity error,0.9120569620253164,0.011264400422228267,0.912500000000;0.900000000000;0.925000000000;0.924050632911;0.898734177215,98
7,25,mean concave points,worst compactness,0.9120569620253164,0.011264400422228267,0.925000000000;0.912500000000;0.900000000000;0.924050632911;0.898734177215,99
9,22,mean fractal dimension,worst perimeter,0.9120569620253164,0.02250918913638678,0.937500000000;0.887500000000;0.912500000000;0.936708860759;0.886075949367,100
1,27,mean texture,worst concave points,0.9120569620253164,0.02765185455058168,0.925000000000;0.925000000000;0.887500000000;0.949367088608;0.873417721519,101
3,22,mean area,worst perimeter,0.9120253164556962,0.008316826572082136,0.912500000000;0.912500000000;0.925000000000;0.911392405063;0.898734177215,102
10,22,radius error,worst perimeter,0.9120253164556962,0.008316826572082136,0.912500000000;0.912500000000;0.925000000000;0.911392405063;0.898734177215,103
0,22,mean radius,worst perimeter,0.9120253164556962,0.013934475384100083,0.900000000000;0.912500000000;0.937500000000;0.911392405063;0.898734177215,104
2,22,mean perimeter,worst perimeter,0.9120253164556962,0.013934475384100083,0.900000000000;0.912500000000;0.937500000000;0.911392405063;0.898734177215,105
25,27,worst compactness,worst concave points,0.9120253164556962,0.014048280678917596,0.912500000000;0.912500000000;0.925000000000;0.924050632911;0.886075949367,106
7,26,mean concave points,worst concavity,0.9120253164556962,0.017865318475473423,0.887500000000;0.925000000000;0.937500000000;0.911392405063;0.898734177215,107
2,8,mean perimeter,mean symmetry,0.9120253164556962,0.01795422485192967,0.900000000000;0.912500000000;0.937500000000;0.924050632911;0.886075949367,108
16,27,concavity error,worst concave points,0.911993670886076,0.01621859369999483,0.937500000000;0.925000000000;0.900000000000;0.898734177215;0.898734177215,109
